zin,verdict,sentence_IDs,video_bases
"Een beetje chocola is oké, maar niet te veel.",ANNOTATIE AANWEZIG (op schijf + DB Klaar),739,M20241108_6158
"O, moet je zo huilen?",ANNOTATIE AANWEZIG (op schijf + DB Klaar),704,M20240925_1960
Kan je het me uitleggen?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),681,M20241106_6000
"Het is oké om een beetje bang te zijn, papa en mama zijn hier bij je.",ANNOTATIE AANWEZIG (op schijf + DB Klaar),660,M20260112_9724
Dat heb je wel eens./Dat hoort erbij.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),657,M20260112_9720
Niet op het bed springen.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),351,M20241216_0817
Niet op de bank springen.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),350,M20241216_0816
Je moet minstens één hapje proeven.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),742,M20260126_1564;M20260126_1565
Lekker hè komkommer?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),744,M20260126_1566
"De kapper kan wel goed knippen, hè?",ANNOTATIE AANWEZIG (op schijf + DB Klaar),870,M20260227_5998
het is maar voor één nachtje en we zijn heel dichtbij.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),905,M20260119_0945
We zetten de timer aan en wachten even.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),5420,M20250923_4691
Allemaal voor jou!,ANNOTATIE AANWEZIG (op schijf + DB Klaar),4543,M20260223_4921
Wil je nog een keer?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),2045;4226,M20241113_6825;M20241113_6826;M20260115_0569
probeer je het zelf?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),538;4214;4221,M20241106_5894;M20260113_9802
we kunnen niet alles doorspoelen,ANNOTATIE AANWEZIG (op schijf + DB Klaar),1528;4217,M20250204_4151;M20260127_2212
Wat wil je bestellen?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),1242;4216,M20241216_1033;M20260127_2042
Heb je genoeg gegeten?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),214;4212;4215;4223,M20241108_6136;M20260126_1569
De pasta is warm.,ANNOTATIE AANWEZIG (op schijf + DB Klaar),175;4211;4222,M20241108_6066;M20260126_1567
Doe jij het even?,ANNOTATIE AANWEZIG (op schijf + DB Klaar),2221,M20250522_8341;M20250522_8342
"Het is oké dat je moet huilen, maar nu is het wel even klaar.",ANNOTATIE AANWEZIG (op schijf + DB Klaar),659,M20260112_9723
"Oh jeetje, dat zijn we vergeten.",ANNOTATIE AANWEZIG (op schijf + DB Klaar),2036;4220,M20241216_1322;M20241216_1323;M20260115_0567;M20260115_0568
Je mag zelf je kleren uitzoeken,ANNOTATIE AANWEZIG (op schijf + DB Klaar),15;4225,M20250527_8636
Daar kun je lekker spelen met de andere kindjes.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1203,
"één keer vegen, dubbel vouwen, nog een keer vegen. En dan weggooien en nog een keer.","VOLLEDIG WEG (geen video, geen srt/eaf)",958,
"Als er een ongelukje gebeurt, pak je altijd even een schone onderbroek, oké?","VOLLEDIG WEG (geen video, geen srt/eaf)",957,
Even de lamp aanzetten.,"VOLLEDIG WEG (geen video, geen srt/eaf)",342,
"Als we dit erop doen, gaat de pijn over.","VOLLEDIG WEG (geen video, geen srt/eaf)",1160,
Anders neem ik je handschoentjes wel mee.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1889,
Binnen een kwartiertje voel je je een heel stuk beter.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1933,
boven je bord eten,"VOLLEDIG WEG (geen video, geen srt/eaf)",171,
De baby komt uit mama's buik.,"VOLLEDIG WEG (geen video, geen srt/eaf)",326,
Doe de kraan maar aan.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1764,
doe het traphekje maar dicht.,"VOLLEDIG WEG (geen video, geen srt/eaf)",338,
Eet je je fruit op?,"VOLLEDIG WEG (geen video, geen srt/eaf)",190,
Even goed op je stoel zitten.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1232,
Even je oren drogen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1777,
Goed op je billen zitten.,"VOLLEDIG WEG (geen video, geen srt/eaf)",211,
Heb je honger?,"VOLLEDIG WEG (geen video, geen srt/eaf)",217,
"het duurt niet lang, maar de kapper moet heel even goed kunnen knippen.","VOLLEDIG WEG (geen video, geen srt/eaf)",360,
"Het is niet eng als je niet alles kunt horen, papa zal bij je zijn om je te helpen begrijpen wat er gebeurt.","VOLLEDIG WEG (geen video, geen srt/eaf)",1959,
Het ziet er gezellig uit.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1094,
Hoe was het?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1097,
Hoe zie je dat iemand oud is?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1098,
Ik zal je in de kar/kinderwagen zetten,"VOLLEDIG WEG (geen video, geen srt/eaf)",489,
Ik zet je broertje even in de kar/kinderwagen en dan gaan we.,"VOLLEDIG WEG (geen video, geen srt/eaf)",490,
Is er een ongelukje gebeurd?,"VOLLEDIG WEG (geen video, geen srt/eaf)",453,
Je gaat dadelijk gewoon op de gang.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1692,
Je hebt bruine ogen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",331,
Je hebt vroeger ook melk gedronken uit mama's borsten.,"VOLLEDIG WEG (geen video, geen srt/eaf)",332,
Je mag in de spiegel meekijken bij de tandarts.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1486,
"Kijk, een vrachtwagen.","VOLLEDIG WEG (geen video, geen srt/eaf)",1619,
"Kijk, wat doet Dikkie Dik?","VOLLEDIG WEG (geen video, geen srt/eaf)",1658,
Kom maar op schoot zitten.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1824,
"Kom maar, gaan we aankleden?","VOLLEDIG WEG (geen video, geen srt/eaf)",18,
"Kom maar, gaan we snel naar de wc.","VOLLEDIG WEG (geen video, geen srt/eaf)",462,
"Kom op, want anders hebben we geen tijd meer voor een boekje.","VOLLEDIG WEG (geen video, geen srt/eaf)",1659,
Kun je het aanwijzen?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1176,
Laat maar staan.,"VOLLEDIG WEG (geen video, geen srt/eaf)",2030,
laten we vanaf binnen kijken hoe het stormt.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1915,
mag ik even aan je handen ruiken?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1832,
Mama zet je even op de wc.,"VOLLEDIG WEG (geen video, geen srt/eaf)",471,
Misschien ga je wel iets leuks doen bij opa en oma.,"VOLLEDIG WEG (geen video, geen srt/eaf)",295,
Moeten we het nog schoonmaken?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1178,
"Nee nu niet, we gaan dadelijk al eten.","VOLLEDIG WEG (geen video, geen srt/eaf)",278,
Niet in je mond stoppen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1367,
Nog even stil liggen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1845,
Ook tussen je billen en tussen je tenen afdrogen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1849,
Pak je kadootje maar uit.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1582,
"Pas op, niet de warme kraan.","VOLLEDIG WEG (geen video, geen srt/eaf)",1853,
Probeer je neus maar even te snuiten.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1855,
"Stop daar maar mee, dat klinkt voor ons heel hard en dat is niet prettig.","VOLLEDIG WEG (geen video, geen srt/eaf)",848,
"Voorzichtig, niet in je ogen wrijven met de shampoo.","VOLLEDIG WEG (geen video, geen srt/eaf)",1866,
Wat voor pauzehap willen jullie vandaag mee naar school? Een rijstwafel of een koek?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1284,
"We gaan eerst naar de dokter, en daarna doen we samen iets leuks om te vieren hoe dapper je bent geweest.","VOLLEDIG WEG (geen video, geen srt/eaf)",1965,
we kunnen heel even niet buiten spelen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1400,
wie is er echt oud?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1147,
Wil je iets in je haar?,"VOLLEDIG WEG (geen video, geen srt/eaf)",312,
Wil je zelf badschuim erin doen?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1879,
Zal ik er een kusje op geven?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1188,
Zal ik staartjes bij je maken?,"VOLLEDIG WEG (geen video, geen srt/eaf)",313,
Zet de douche maar uit.,"VOLLEDIG WEG (geen video, geen srt/eaf)",1881,
"Zo even de lampen uitzetten, die hoeven nu niet meer aan.","VOLLEDIG WEG (geen video, geen srt/eaf)",868,
"Zo, kusje erop!","VOLLEDIG WEG (geen video, geen srt/eaf)",1190,
Zullen we een hele diepe tunnel graven?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1423,
Zullen we een herfsttafel gaan maken?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1424,
Zullen we een pilletje pakken?,"VOLLEDIG WEG (geen video, geen srt/eaf)",1191,
Zullen we nu dan met de treinbaan gaan spelen?,"VOLLEDIG WEG (geen video, geen srt/eaf)",735,
Gebruik maar je bovenlip zo om het eraf te happen.,"VOLLEDIG WEG (geen video, geen srt/eaf)",5007,
"Kom maar lekker liggen, alles even goed doen","VOLLEDIG WEG (geen video, geen srt/eaf)",5620,
"Kijk, een feestelijke ontbijttafel!","VOLLEDIG WEG (geen video, geen srt/eaf)",6098,
