Zin,matched_transcriptions,matched_m_transcriptions,selected_m_file,selected_m_transcription,Welke video goeie als er meerdere video's zijn?,Overnieuw,Warning
Doe je je jas aan?,"[{'m_file': 'M20240828_0033.wav', 'm_transcription': '1'}]",['1'],,,,Y,
Doe je schoenen aan.,[],[],,,,Y,No matched transcriptions found.
Ga maar even staan.,"[{'m_file': 'M20240828_0043.wav', 'm_transcription': '9'}]",['9'],M20240828_0043.wav,9,V1 en V2,,Not enough matched transcriptions for preference V2.
"het gaat regenen vandaag, dus je moet lange mouwen aan.","[{'m_file': 'M20240828_0064.wav', 'm_transcription': '12'}]",['12'],,,,Y,
"je moet sokken aan, want je krijgt dichte schoenen aan.","[{'m_file': 'M20240828_0072.wav', 'm_transcription': '16'}]",['16'],,,V3,,Not enough matched transcriptions for preference V3.
"je moet toch een lange broek aan, want het wordt fris vandaag.","[{'m_file': 'M20240828_0074.wav', 'm_transcription': '17'}]",['17'],,,,Y,
"Kom maar, gaan we aankleden?",[],[],,,,Y,No matched transcriptions found.
"Kom, dan doen we nog even wat gel in je haar.","[{'m_file': 'M20240828_0076.wav', 'm_transcription': '20'}, {'m_file': 'M20240828_0077.wav', 'm_transcription': '20'}]","['20', '20']",M20240828_0077.wav,20,V2,,
"Kom, dan zetten we je pet op.","[{'m_file': 'M20240828_0080.wav', 'm_transcription': '21'}]",['21'],,,V3,,Not enough matched transcriptions for preference V3.
"Nee, het is koud buiten, dus we moeten wel een jas aan.","[{'m_file': 'M20241106_5887.wav', 'm_transcription': '534'}, {'m_file': 'M20241106_5889.wav', 'm_transcription': '534'}, {'m_file': 'M20241106_5890.wav', 'm_transcription': '534'}]","['534', '534', '534']",M20241106_5890.wav,534,V3,,
we doen nu even je romper uit.,"[{'m_file': 'M20240925_1818.wav', 'm_transcription': '546'}, {'m_file': 'M20240925_1819.wav', 'm_transcription': '546'}, {'m_file': 'M20240925_1820.wav', 'm_transcription': '546'}]","['546', '546', '546']",M20240925_1819.wav,546,V2,,
We gaan de schoenen aandoen en dan gaan we naar school toe.,"[{'m_file': 'M20240925_1821.wav', 'm_transcription': '547'}, {'m_file': 'M20240925_1822.wav', 'm_transcription': '547'}]","['547', '547']",M20240925_1822.wav,547,V2,,
We gaan even je onderbroek uitzoeken.,"[{'m_file': 'M20240925_1823.wav', 'm_transcription': '548'}, {'m_file': 'M20240925_1824.wav', 'm_transcription': '548'}]","['548', '548']",M20240925_1824.wav,548,V2,,
Wil je een T-shirt aan of een shirt met lange mouwen?,"[{'m_file': 'M20240925_1829.wav', 'm_transcription': '553'}, {'m_file': 'M20240925_1830.wav', 'm_transcription': '553'}]","['553', '553']","M20240925_1829.wav, M20240925_1830.wav","553, 553",V1 en V2,,
Wil je nog meer kleding aan?,"[{'m_file': 'M20240925_1831.wav', 'm_transcription': '554'}, {'m_file': 'M20240925_1832.wav', 'm_transcription': '554'}, {'m_file': 'M20240925_1833.wav', 'm_transcription': '554'}]","['554', '554', '554']",M20240925_1833.wav,554,V3,,
wil je schoenen aan of sandalen?,"[{'m_file': 'M20240925_1834.wav', 'm_transcription': '555'}, {'m_file': 'M20240925_1835.wav', 'm_transcription': '555'}]","['555', '555']",M20240925_1835.wav,555,V2,,
