Zin;Context;Vertaling NGT/opmerking;Bijbehorende uitleg/grammatica;Naam;;
Doe je je jas aan?;Aankleden;;;Henrianne;;
Doe je schoenen aan.;Aankleden;;;Henrianne;;
doe jij het even? ;Aankleden;;;Henrianne;;
Doe maar je armen omhoog.;Aankleden;;;Henrianne;;
Draai je maar om.;Aankleden;;;Henrianne;;
eerst je broek aan;Aankleden;;;Henrianne;;
Even een schone onderbroek aandoen.;Aankleden;;;Henrianne;;
ga je maar aankleden;Aankleden;;;Henrianne;;
Ga maar even staan.;Aankleden;;;Henrianne;2x;
Ga maar zitten;Aankleden;;;Henrianne;;
Heb je een schone onderbroek aangetrokken?;Aankleden;;;Henrianne;;
het gaat regenen vandaag, dus je moet lange mouwen aan.;Aankleden;;;Diego;;
Het wordt heel warm, dus je hoeft alleen maar een jurkje aan.;aankleden;;;Diego;;
Je hebt geen jas nodig.;aankleden;;;Diego;;
Je mag zelf je kleren uitzoeken;aankleden;;;Diego;;
je moet sokken aan, want je krijgt dichte schoenen aan.;aankleden;;;Diego;2x;
je moet toch een lange broek aan, want het wordt fris vandaag.;aankleden;;;Diego;;
Kom maar, gaan we aankleden?;aankleden;;;Diego;;
Kom maar, gaan we kleertjes aandoen?;Aankleden;Weg, zelfde als hierboven;;X;Geen;
Kom, dan doen we nog even wat gel in je haar.;Aankleden;;OP;Diego;;
Kom, dan zetten we je pet op.;Aankleden;;;Diego;2x;
Kom, we gaan je kleertjes pakken.;Aankleden;;;Diego;;
Nee, het is koud buiten, dus we moeten wel een jas aan.;aankleden;;;Tobias;;
o, het is heel warm, dus je kan iets met korte mouwen aan.;aankleden;;;Tobias;;
Pak je jas.;aankleden;;;Tobias;;
pak maar een schone onderbroek.;aankleden;;;Tobias;;
probeer je het zelf? ;aankleden;;;Tobias;;
regenkleding aan, want dan kunnen we gewoon buiten spelen.;Aankleden;;;Tobias;;
Trek je schoenen maar aan.;aankleden;;;Tobias;;
Waar is je pet?;aankleden;;;Tobias;;
wat wil je aan?;Aankleden;;;Tobias;;
Wat zit er allemaal in je tas?;aankleden;;;Tobias;;
We doen een lekkere warme trui aan.;Aankleden;;;Tobias;;
We doen even een schone romper aan.;aankleden;;;Tobias;;
we doen nu even je romper uit.;Aankleden;;;Manouk;;
We gaan de schoenen aandoen en dan gaan we naar school toe.;Aankleden;;;Manouk;;
We gaan even je onderbroek uitzoeken.;aankleden;;;Manouk;;
we gaan nu aankleden.;Aankleden;;;Manouk;;
We gaan nu een T-shirt pakken ;Aankleden;;;Manouk;;
We gaan nu je shirt aandoen.;Aankleden;;;Manouk;;
Wil je een korte of lange broek aan?;Aankleden;;;Manouk;;
Wil je een T-shirt aan of een shirt met lange mouwen?;Aankleden;;;Manouk;;
Wil je nog meer kleding aan?;Aankleden;;;Manouk;;
wil je schoenen aan of sandalen?;aankleden;;;Manouk;;
zullen we wat gel in je haar doen?;Aankleden;;;Manouk;;
Daarna gaan we weer naar huis.;Aankleden;;;Manouk;;
Dit boek nemen we mee naar huis.;bibliotheek;;;Henrianne;;
gaan we boekjes uitzoeken?;bibliotheek;;;Henrianne;;
Gaan we deze boekjes lenen?;bibliotheek;;;Henrianne;;
Ja, zullen wij dit boekje even lezen?;bibliotheek;;;Diego;;
Kijk, daar is een boek van Kikker.;bibliotheek;;;Diego;;
We hebben nu genoeg boekjes.;bibliotheek;;;Diego;;
Welke boekjes vind jij leuk?;bibliotheek;;;Tobias;;
Wil je De hut van Haasje of wil je Jip en Janneke?;bibliotheek;;;Tobias;;
Wil je zelf een boekje lezen?;bibliotheek;;;Manouk;;
Zullen we die nemen?;bibliotheek;;;Manouk;;
Dat hebben we niet nodig.;bibliotheek;;;Manouk;;
Dat staat niet op de (boodschappen)lijst.;Boodschappen doen;;;Henrianne;;
Even bij mama blijven.;Boodschappen doen;(Vader zegt dit);;Henrianne;;
Ga je straks mee boodschappen doen met papa of wil je dat met mama doen?;Boodschappen doen;Eerste papa dan mama en tweede, mama dan mama;;Henrianne;2x;Diego ook? vanuit vader
Je kan niet alles hebben.;Boodschappen doen;;;Henrianne;2x;
Kan je het zelfscan-apparaatje even pakken en even bliepen/scannen?;Boodschappen doen;;;Henrianne;;
Kan je me even helpen met de boodschappen opruimen?;boodschappen doen;;;Henrianne;;
Kan je voor mij het pak melk pakken?;boodschappen doen;;;Henrianne;;
kom, we gaan boodschappen doen;boodschappen doen;;;Henrianne;;
leg maar terug.;boodschappen doen;;;Henrianne;;
Loop maar alvast naar het brood.;Boodschappen doen;;;Henrianne;;
Mama gaat even pinnen.;Boodschappen doen;;;Henrianne;;
Papa gaat nu even de kaas pakken.;Boodschappen doen;;;Diego;;
Nee, dat mag je niet hebben.;Boodschappen doen;;;Diego;;
O, we moeten nog kip hebben.;Boodschappen doen;;;Diego;;
pak jij de ham even?;Boodschappen doen;;;Diego;;
Pak jij het boodschappenkarretje?;Boodschappen doen;;Directionele werkwoorden;Diego;;
vraag maar om zegeltjes aan de kassamevrouw.;Boodschappen doen;;Directionele werkwoorden;Diego;2x;
Wat voor groenten wil je kopen?;Boodschappen doen;Wat voor groenten wil je?;;Diego;;
Wat voor toetje zullen we kopen?;boodschappen doen;;;Diego;;
Wat wil je morgen eten? ;boodschappen doen;;In NL wil, in NGT met mimiek;Diego;;
We doen de boodschappen in de tas.;boodschappen doen;;;Diego;;
we gaan de kar/boodschappenwagen weer terugzetten.;Boodschappen doen;;;Diego;;
we gaan naar de winkel;Boodschappen doen;;;Tobias;;
We gaan nu betalen en dan gaan we daarna naar huis.;boodschappen doen;;;Tobias;;
We gaan samen vlees uitkiezen.;Boodschappen doen;;;Tobias;;
We moeten alleen nog paprika hebben.;Boodschappen doen;;;Tobias;;
We zijn de ham vergeten.;Boodschappen doen;;;Tobias;;
We zijn op de fiets.;Boodschappen doen;;;Tobias;;
Wil je een eigen boodschappenkarretje?;Boodschappen doen;;;Tobias;;
Wil je nog iets kopen voor op brood?;Boodschappen doen;;;Manouk;;
Wil je nog iets speciaals kopen bij de supermarkt?;boodschappen doen;;;Manouk;;
Wil jij de boodschappen scannen?;boodschappen doen;;;Manouk;;
Zet de boodschappenkar maar terug.;Boodschappen doen;;;Manouk;;
