Zin;Context;;;
Doe het klittenband van je sandalen goed dicht.;Aankleden;;;
Doe je capuchon even af.;Aankleden;;;
Doe je sjaal goed om.;Aankleden;;;
Doe je sokken goed aan.;Aankleden;;;
Duw je voeten goed in je schoenen.;Aankleden;;;
Ik help je met je knopen dichtmaken.;Aankleden;;;
Is je broek niet te strak?;Aankleden;;;
Je broek zit achterstevoren, laten we hem goed doen.;Aankleden;;;
Je hebt je shirt achterstevoren aan, draai hem even om.;Aankleden;;;
Je jas hangt aan de kapstok.;Aankleden;;;
Je kunt je sjaal om je nek doen.;Aankleden;;;
Je kunt zelf je rits omhoog trekken.;Aankleden;;;
Je mag zelf je schoenen uitzoeken.;Aankleden;;;
Je moet je jas dichtritsen, het waait buiten.;Aankleden;;;
Je moet je kraag goed naar beneden doen.;Aankleden;;;
Je moet je schoenen goed aantrekken.;Aankleden;;;
Je schoen zit aan de verkeerde voet.;Aankleden;;;
Je schoenen zijn nog niet dicht, wil je hulp?;Aankleden;;;
Je trui is binnenstebuiten, laten we hem omdraaien.;Aankleden;;;
Je veters moeten nog gestrikt worden.;Aankleden;;;
Kijk, deze jas heeft een capuchon!;Aankleden;;;
Kijk, dit shirt heeft een mooie print!;Aankleden;;;
knoop je jas maar dicht.;Aankleden;;;
Kom, we doen je pyjama uit.;Aankleden;;;
Kun je je rits dichtdoen?;Aankleden;;;
Kun je zelf je broek aantrekken?;Aankleden;;;
Kun je zelf je jas dichtritsen?;Aankleden;;;
Laten we een mooie haarband in je haar doen.;Aankleden;;;
Laten we een warme sjaal omdoen.;Aankleden;;;
Maak het klittenband los voordat je je schoenen uittrekt.;Aankleden;;;
O jee, je broek zit achterstevoren!;Aankleden;;;
Pak je slippers, we gaan naar het strand!;Aankleden;;;
Plak het klittenband stevig vast, anders gaan je schoenen los.;Aankleden;;;
Rits je vest maar dicht.;Aankleden;;;
Steek je arm door de mouw.;Aankleden;;;
Tijd om je pyjama aan te doen.;Aankleden;;;
Trek eerst je broek aan en dan je sokken.;Aankleden;;;
Trek je pyjama maar uit.;Aankleden;;;
Vandaag mag je een leuke jurk aantrekken.;Aankleden;;;
Waar is je andere sok?;Aankleden;;;
Waar zijn je handschoenen?;Aankleden;;;
Waar zijn je sokken gebleven?;Aankleden;;;
We doen een regenjas aan, het regent buiten.;Aankleden;;;
We doen nu je pyjama aan en dan gaan we slapen.;Aankleden;;;
We gaan je muts opzetten, het is koud buiten.;Aankleden;;;
We trekken vandaag laarzen aan.;Aankleden;;;
Wil je deze trui of die andere?;Aankleden;;;
Wil je een legging of een spijkerbroek aan?;Aankleden;;;
Wil je een muts op?;Aankleden;;;
Wil je je favoriete trui aan?;Aankleden;;;
Wil je je sokken uittrekken?;Aankleden;;;
Wil je op blote voeten lopen?;Aankleden;;;
Wil je schoenen met klittenband of veters?;Aankleden;;;
Dan gaan we daarna naar de slaapkamer om je aan te kleden.;Aankleden & uitkleden;;;
Deze trui mag ik eigenlijk niet aandoen van mama, maar ik doe het lekker toch.;Aankleden & uitkleden;;;
één been, andere been.;Aankleden & uitkleden;;;
Ene arm erin, andere arm erin, knoopjes dicht.;Aankleden & uitkleden;;;
Heeft mama je weer een lelijke trui aangetrokken?;Aankleden & uitkleden;;;
Hey, heb je je andere been er weer uitgehaald? Die moet er ook in.;Aankleden & uitkleden;;;
je bent er helemaal klaar voor.;Aankleden & uitkleden;;;
Jouw lievelingstrui met streepjes.;Aankleden & uitkleden;;;
Klaar voor de dag.;Aankleden & uitkleden;;;
Laten we deze aandoen, deze is mooi.;Aankleden & uitkleden;;;
Papa's lievelings trui.;Aankleden & uitkleden;;;
Wat zie je er mooi uit. ;Aankleden & uitkleden;;;
We doen even jouw sokjes uit.;Aankleden & uitkleden;;;
Welk broekje?;Aankleden & uitkleden;;;
Welk truitje zullen we vandaag aandoen?;Aankleden & uitkleden;;;
Zo, helemaal aangekleed, klaar.;Aankleden & uitkleden;;;
Ben je lekker aan het rollen?;Baby;;;
Daar is je knuffel weer!;Baby;;;
Je kijkt zo nieuwsgierig om je heen!;Baby;;;
Jouw kleine voetjes zijn zo schattig!;Baby;;;
Oh oh, kwijl op je shirtje!;Baby;;;
Oh, je handjes grijpen alles vast!;Baby;;;
Oh, wat een grote lach!;Baby;;;
Stil maar kleintje, mama is hier.;Baby;;;
Wat een grappig geluid maak jij!;Baby;;;
Wat een grote boer, goed gedaan!;Baby;;;
Wat een lieve baby ben jij!;Baby;;;
Wat knijp je hard!;Baby;;;
Wie is daar? Dat is je broertje!;Baby;;;
Wie komt daar aangelopen? Dat is papa!;Baby;;;
Wil je je knuffeldoekje?;Baby;;;
1, 2, 3, hup! ;Baby;;;
ah lekker voelen.;Baby;;;
Aw, dat is lekker zacht.;Baby;;;
Daar ben jij nog veel te klein voor.;Baby;;;
Daar lig je dan.;Baby;;;
Dat kan zo toch helemaal niet.;Baby;;;
Die doen we maar weer uit, toch weer een andere romper aan.;Baby;;;
Die moeten we dan maar weer verschonen.;Baby;;;
even de romper neerleggen ;Baby;;;
even optillen ;Baby;;;
Even rollen.;Baby;;;
Heb je een labeltje gevonden?;Baby;;;
heb je weer een beetje gespuugd?;baby;;;
Heb je weer een labeltje gevonden?;Baby;;;
Heb je weer zitten kwijlen?;baby;;;
Heb jij een schattig dik buikje?;Baby;;;
Hup, weg ermee.;Baby;;;
Ja, daar gaat het. Allemaal in Bobby's mond.;baby;;;
Je hebt ook al zulke dikke beentjes gekregen. (liefkozend tegen baby);Baby;;;
Je hebt weer helemaal op je romper gespuugd. ;Baby;;;
Je romper is weer helemaal nat. ;Baby;;;
Kleine grappenmaker;Baby;;;
Kun je al naar je buik rollen?;Baby;;;
Kun je al op je buik liggen?;Baby;;;
Lekker sabbelen.;Baby;;;
Mooie kleurtjes;Baby;;;
Mooie vormpjes;Baby;;;
Nee, niet aan mama's haar trekken, dat doet pijn. ;Baby;;;
Niet aan mama's haar trekken, dan heeft mama straks geen haar meer over.;Baby;;;
oh daar zijn je vingers!;Baby;;;
Oh ja, dat zijn je voetjes, lang niet gezien.;Baby;;;
Oh! Heb je dat op de grond gegooid?;Baby;;;
Oh, daar zijn je voetjes weer.;Baby;;;
oh, je hebt alweer op je shirtje gespuugd.;Baby;;;
Oh, je teentjes passen bijna in je mond.;Baby;;;
Oh, spuug en kwijl.;Baby;;;
Oh, spuug op je schone romper.;Baby;;;
Papa's vinger verdwijnt bijna in Bobby's mond!;baby;;;
Past dat in je mond?;Baby;;;
Waar is je handje nou gebleven?;baby;;;
Waar zijn Bobby's vingers gebleven?;Baby;;;
Waar zijn je beentjes nou gebleven?;Baby;;;
Wat ben je aan het vertellen?;Baby;;;
Wat een hoop geluidjes.;Baby;;;
wat heb je al een sterke nek.;Baby;;;
Wat heb je veel praatjes.;Baby;;;
Wat heb jij een schattig buikje;Baby;;;
Wat zie je allemaal gebeuren?;Baby;;;
Wat zit daar?;Baby;;;
We gaan je weer neerleggen. ;Baby;;;
Zitten er nog 5 teentjes aan?;Baby;;;
Drink maar lekker, dan kan je daarna weer wat anders gaan doen.;Baby, Borstvoeding;;;
Er is nog meer melk.;Baby, Borstvoeding;;;
even een boertje laten.;Baby, Borstvoeding;;;
focus, focus. Je bent melk aan het drinken.;Baby, Borstvoeding;;;
Goed zo mannetje, ga maar lekker drinken.;Baby, Borstvoeding;;;
heb je genoeg gehad? ;Baby, Borstvoeding;;;
ja, er gebeuren ook heel veel andere dingen, maar we zijn nu even melk aan het drinken.;Baby, Borstvoeding;;;
Kom maar even drinken.;Baby, Borstvoeding;;;
Laten we even de andere kant proberen.;Baby, Borstvoeding;;;
Let maar even niet op wat er allemaal gebeurt.;Baby, Borstvoeding;;;
papa is andere dingen aan het doen, maar let er maar even niet op.;Baby, Borstvoeding;;;
Ben je het eten op tafel aan het smeren? ;Baby, Eten & drinken;;;
Koffie is niet voor baby's.;Baby, Eten & drinken;;;
oh, doe dat maar niet. ;Baby, Eten & drinken;;;
Oh, wat een vieze boel. ;Baby, Eten & drinken;;;
Wil je een babyccino?;Baby, Eten & drinken;;;
Allemaal voor jou.;Baby, Flesje geven;;;
Daar komt het flesje!;Baby, Flesje geven;;;
Dan niet hoor liefje, hoeft niet.;Baby, Flesje geven;;;
Dat was niet zo veel. Heb je helemaal geen honger?;Baby, Flesje geven;;;
Er komt lekkere melk aan voor jou.;Baby, Flesje geven;;;
Goed zo kleintje, drink maar lekker.;Baby, Flesje geven;;;
Ik ben een flesje voor jou aan het maken.;Baby, Flesje geven;;;
Jammer dan.;Baby, Flesje geven;;;
kijk Bobby, een flesje voor jou.;Baby, Flesje geven;;;
Kom maar even hier dan mag je even een boertje laten.;Baby, Flesje geven;;;
Nou, dan niet.;Baby, Flesje geven;;;
Nou, goed gedronken hoor lieverdje. Laten we de rest maar even laten staan.;Baby, Flesje geven;;;
Verse melk.;Baby, Flesje geven;;;
Wil je misschien nog een boertje laten?;Baby, Flesje geven;;;
Wil je nog een beetje?;Baby, Flesje geven, Borstvoeding;;;
Gezellig hè op het terras met tante Julia.;Baby, Plaatsen;;;
Op het terras.;Baby, Plaatsen;;;
Waar zijn we nu?;Baby, Plaatsen;;;
Ga maar lekker sabbelen.;Baby, speen;;;
Heb je je speen weer gepakt?;Baby, speen;;;
