sentence_ID,zinString,category,zin_cut_files,cuts_on_drive,recording_date
1160,"Als we dit erop doen, gaat de pijn over.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6807;M20241113_6808;M20241113_6809,3,2024-11-13
1889,Anders neem ik je handschoentjes wel mee.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0384,1,2024-12-10
1933,Binnen een kwartiertje voel je je een heel stuk beter.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0394;M20241210_0395;M20241210_0396,3,2024-12-10
171,boven je bord eten,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6057,1,2024-11-08
326,De baby komt uit mama's buik.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6222,1,2024-11-08
1764,Doe de kraan maar aan.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0346,1,2024-12-10
338,doe het traphekje maar dicht.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6952,1,2024-11-13
190,Eet je je fruit op?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6094;M20241108_6095,2,2024-11-08
1232,Even goed op je stoel zitten.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0127,1,2024-12-10
1777,Even je oren drogen.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0360;M20241210_0361;M20241210_0362,3,2024-12-10
211,Goed op je billen zitten.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6133,1,2024-11-08
217,Heb je honger?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6140;M20241108_6141,2,2024-11-08
360,"het duurt niet lang, maar de kapper moet heel even goed kunnen knippen.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0821;M20241216_0822;M20241216_0823,3,2024-12-16
1959,"Het is niet eng als je niet alles kunt horen, papa zal bij je zijn om je te helpen begrijpen wat er gebeurt.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0406;M20241210_0407,2,2024-12-10
1094,Het ziet er gezellig uit.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0954,1,2024-12-16
1097,Hoe was het?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0960,1,2024-12-16
1098,Hoe zie je dat iemand oud is?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0961,1,2024-12-16
489,Ik zal je in de kar/kinderwagen zetten,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0903;M20241216_0904,2,2024-12-16
490,Ik zet je broertje even in de kar/kinderwagen en dan gaan we.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0905;M20241216_0906;M20241216_0907;M20241216_0908,4,2024-12-16
453,Is er een ongelukje gebeurd?,"C: recorded only as gloss/sign cuts, NO full-sentence cut → needs zin take","(no zin row; has: glos/added=1×7, Glos/added=DELETE×1, nmm/added=1×1)",,
1692,Je gaat dadelijk gewoon op de gang.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1169;M20241216_1170,2,2024-12-16
331,Je hebt bruine ogen.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_1095,1,2024-12-10
332,Je hebt vroeger ook melk gedronken uit mama's borsten.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_1096;M20241210_1097,2,2024-12-10
1486,Je mag in de spiegel meekijken bij de tandarts.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1110,1,2024-12-16
1619,"Kijk, een vrachtwagen.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0291,1,2024-12-10
1658,"Kijk, wat doet Dikkie Dik?","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1163,1,2024-12-16
1824,Kom maar op schoot zitten.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4197,1,2025-02-04
18,"Kom maar, gaan we aankleden?","C: recorded only as gloss/sign cuts, NO full-sentence cut → needs zin take","(no zin row; has: Glos/added=1×1, Glos/added=DELETE×5, lsm/added=×1)",,
